,Strategies Agreeing,Total Trades,Avg Win Rate %,Avg PnL
0,1,8584,47.01,0.27
1,2,9832,49.62,0.46
2,3,9546,51.31,0.6
3,4,8912,51.71,0.66
4,5,9770,50.77,0.47
5,6,9642,50.85,0.53
6,7,9737,46.17,0.18
7,8,8800,50.0,0.47
8,9,7551,46.89,0.14
9,10,6260,46.05,0.22
10,11,5401,48.81,0.29
11,12,4500,47.42,0.23
12,13,3484,49.0,0.41
13,14,2716,43.0,-0.29
14,15,2385,43.94,-0.09
15,16,1728,44.39,-0.19
16,17,1224,45.51,0.34
17,18,792,51.89,0.87
18,19,361,42.11,0.68
19,20,280,46.43,-0.03
20,21,210,47.14,1.05
21,22,22,81.82,7.58
22,23,46,50.0,0.42
