,Strategy 1,Strategy 2,Correlation
80,bb_rsi_bounce,donchian_rsi,-0.45
78,bb_rsi_bounce,breakout_retest,-0.447
118,bb_rsi_bounce,triple_confirm,-0.398
81,bb_rsi_bounce,ema_macd_rsi_confluence,-0.394
117,bb_rsi_bounce,trend_momentum_vol,-0.391
97,bb_rsi_bounce,keltner_rsi,-0.382
95,bb_rsi_bounce,ichimoku_cloud_bounce,-0.376
115,bb_rsi_bounce,three_bar_reversal,-0.366
98,bb_rsi_bounce,ma_ribbon_pullback,-0.351
82,bb_rsi_bounce,ema_ribbon_pullback,-0.344
46,adx_rsi_ema,bb_rsi_bounce,-0.331
104,bb_rsi_bounce,momentum_exhaustion,-0.292
114,bb_rsi_bounce,supertrend_rsi_ema,-0.288
455,fib_ema_bounce,h1_trend_m5_rsi,-0.271
101,bb_rsi_bounce,macd_ema_trend,-0.261
621,h1_trend_m5_rsi,triple_confirm,-0.255
103,bb_rsi_bounce,marubozu_trend,-0.254
601,h1_trend_m5_rsi,ma_ribbon_pullback,-0.248
188,cci_ema,trend_mean_reversion,-0.248
517,h1_trend_m5_bb,ma_ribbon_pullback,-0.248
536,h1_trend_m5_bb,trend_momentum_vol,-0.242
255,ema_ribbon_pullback,h1_trend_m5_bb,-0.238
537,h1_trend_m5_bb,triple_confirm,-0.235
231,ema_macd_rsi_confluence,h1_trend_m5_rsi,-0.232
228,ema_macd_rsi_confluence,h1_trend_m5_bb,-0.232
514,h1_trend_m5_bb,ichimoku_cloud_bounce,-0.227
620,h1_trend_m5_rsi,trend_momentum_vol,-0.225
200,donchian_rsi,h1_trend_m5_bb,-0.222
129,breakout_retest,h1_trend_m5_bb,-0.209
57,adx_rsi_ema,h1_trend_m5_rsi,-0.205
808,macd_histogram_div,trend_mean_reversion,-0.201
598,h1_trend_m5_rsi,ichimoku_cloud_bounce,-0.2
99,bb_rsi_bounce,macd_bb_breakout,-0.195
648,h1_trend_m5_stoch,triple_confirm,-0.195
628,h1_trend_m5_stoch,ma_ribbon_pullback,-0.187
534,h1_trend_m5_bb,three_bar_reversal,-0.186
232,ema_macd_rsi_confluence,h1_trend_m5_stoch,-0.186
516,h1_trend_m5_bb,keltner_rsi,-0.185
792,macd_ema_trend,trend_mean_reversion,-0.184
617,h1_trend_m5_rsi,supertrend_rsi_ema,-0.17
74,adx_rsi_ema,stoch_divergence,-0.168
107,bb_rsi_bounce,pin_bar_ema,-0.167
88,bb_rsi_bounce,fib_ema_bounce,-0.163
54,adx_rsi_ema,h1_trend_m5_bb,-0.162
610,h1_trend_m5_rsi,pin_bar_ema,-0.161
119,bb_rsi_bounce,tweezer_reversal,-0.159
622,h1_trend_m5_rsi,tweezer_reversal,-0.158
684,ichimoku_cloud_bounce,stoch_divergence,-0.155
258,ema_ribbon_pullback,h1_trend_m5_rsi,-0.151
923,stoch_divergence,three_bar_reversal,-0.151
523,h1_trend_m5_bb,momentum_exhaustion,-0.148
58,adx_rsi_ema,h1_trend_m5_stoch,-0.142
680,ichimoku_cloud_bounce,rsi_divergence,-0.14
647,h1_trend_m5_stoch,trend_momentum_vol,-0.136
802,macd_histogram_div,scalp_pullback,-0.136
62,adx_rsi_ema,macd_divergence,-0.135
87,bb_rsi_bounce,engulfing_ema,-0.134
132,breakout_retest,h1_trend_m5_rsi,-0.134
625,h1_trend_m5_stoch,ichimoku_cloud_bounce,-0.133
70,adx_rsi_ema,rsi_divergence,-0.131
836,momentum_exhaustion,trend_mean_reversion,-0.131
522,h1_trend_m5_bb,marubozu_trend,-0.13
94,bb_rsi_bounce,heikin_ashi_ema,-0.128
259,ema_ribbon_pullback,h1_trend_m5_stoch,-0.127
64,adx_rsi_ema,macd_histogram_div,-0.123
